team,opponent,player,ip,ha,er,bb,hb,so,bf,hr_a,game_id,game_date,season
Siena,Iona,Gracie Goewey,1.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,6306557.0,03/29/2025,2025.0
Iona,Siena,Allison Hoppe,7.0,5.0,1.0,2.0,2.0,2.0,28.0,0.0,6306557.0,03/29/2025,2025.0
UConn,Creighton,Sydnee Koosh,3.0,10.0,11.0,3.0,0.0,1.0,23.0,4.0,6306562.0,03/28/2025,2025.0
UConn,Creighton,Stella Kiemele,2.0,6.0,6.0,3.0,0.0,0.0,15.0,1.0,6306562.0,03/28/2025,2025.0
UConn,Creighton,Payton Kinney,2.0,1.0,0.0,0.0,1.0,2.0,8.0,0.0,6306562.0,03/28/2025,2025.0
Creighton,UConn,Brooke Shifflett,1.0,3.0,4.0,3.0,1.0,1.0,10.0,0.0,6306562.0,03/28/2025,2025.0
Creighton,UConn,Brooklyn Patchen,1.0,4.0,6.0,2.0,1.0,2.0,10.0,2.0,6306562.0,03/28/2025,2025.0
Creighton,UConn,Abby Rusher,3.0,8.0,8.0,2.0,0.0,3.0,19.0,4.0,6306562.0,03/28/2025,2025.0
Creighton,UConn,Kenzie Schopfer,2.0,3.0,2.0,2.0,0.0,1.0,12.0,1.0,6306562.0,03/28/2025,2025.0
Wofford,UNC Greensboro,Abby Greenwood,6.0,8.0,5.0,3.0,1.0,6.0,32.0,0.0,6306564.0,03/29/2025,2025.0
UNC Greensboro,Wofford,Jorde Chartrand,4.1,4.0,1.0,4.0,0.0,5.0,19.0,0.0,6306564.0,03/29/2025,2025.0
UNC Greensboro,Wofford,Salem Ward,2.2,1.0,0.0,0.0,0.0,2.0,9.0,0.0,6306564.0,03/29/2025,2025.0
UNCW,Monmouth,Taylor Barlow,7.0,2.0,0.0,3.0,0.0,9.0,26.0,0.0,6306565.0,03/29/2025,2025.0
Monmouth,UNCW,Olivia Lewis,7.0,10.0,4.0,2.0,0.0,0.0,30.0,0.0,6306565.0,03/29/2025,2025.0
LMU (CA),Texas A&M,Lindsey O'Dell,2.1,5.0,4.0,6.0,0.0,1.0,18.0,1.0,6306566.0,03/29/2025,2025.0
LMU (CA),Texas A&M,Jessica Hubbard,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6306566.0,03/29/2025,2025.0
Texas A&M,LMU (CA),Sydney Lessentine,3.0,5.0,2.0,1.0,1.0,1.0,16.0,0.0,6306566.0,03/29/2025,2025.0
Texas A&M,LMU (CA),Kate Munnerlyn,3.0,3.0,0.0,1.0,1.0,3.0,14.0,0.0,6306566.0,03/29/2025,2025.0
Texas A&M,LMU (CA),Emily Leavitt,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,6306566.0,03/29/2025,2025.0
Texas St.,Marshall,Maddy Azua,7.0,3.0,3.0,2.0,0.0,5.0,27.0,1.0,6306567.0,03/29/2025,2025.0
Marshall,Texas St.,Bub Feringa,3.0,4.0,2.0,2.0,0.0,3.0,14.0,1.0,6306567.0,03/29/2025,2025.0
Marshall,Texas St.,Jules King,1.1,3.0,2.0,2.0,0.0,2.0,9.0,1.0,6306567.0,03/29/2025,2025.0
Marshall,Texas St.,Kaleea Washington,2.2,1.0,0.0,3.0,0.0,0.0,13.0,0.0,6306567.0,03/29/2025,2025.0
Tennessee Tech,Southern Ind.,Payton Wagner,3.1,3.0,1.0,2.0,0.0,2.0,16.0,0.0,6306568.0,03/29/2025,2025.0
Tennessee Tech,Southern Ind.,Addison Abell,3.1,4.0,1.0,1.0,1.0,1.0,16.0,0.0,6306568.0,03/29/2025,2025.0
Southern Ind.,Tennessee Tech,Josie Newman,7.0,3.0,2.0,5.0,0.0,8.0,29.0,0.0,6306568.0,03/29/2025,2025.0
Kennesaw St.,Middle Tenn.,Leah Jannakos,5.0,6.0,4.0,8.0,2.0,0.0,29.0,2.0,6306569.0,03/29/2025,2025.0
Kennesaw St.,Middle Tenn.,Jenna Chase,1.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,6306569.0,03/29/2025,2025.0
Middle Tenn.,Kennesaw St.,Tori Coffman,4.0,4.0,0.0,2.0,0.0,0.0,17.0,0.0,6306569.0,03/29/2025,2025.0
Middle Tenn.,Kennesaw St.,Mary Martinez,2.1,4.0,0.0,0.0,0.0,1.0,11.0,0.0,6306569.0,03/29/2025,2025.0
Middle Tenn.,Kennesaw St.,Leila Ammon,0.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6306569.0,03/29/2025,2025.0
West Ga.,FGCU,Calli Hardison,6.0,8.0,4.0,0.0,0.0,1.0,26.0,1.0,6306574.0,03/29/2025,2025.0
FGCU,West Ga.,Allison Sparkman,5.0,7.0,2.0,2.0,0.0,2.0,25.0,0.0,6306574.0,03/29/2025,2025.0
FGCU,West Ga.,Victoria Ash,2.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,6306574.0,03/29/2025,2025.0
