team,opponent,player,ip,ha,er,bb,hb,so,bf,hr_a,game_id,game_date,season
CSU Bakersfield,UCF,Christal Lopez,1.0,4.0,4.0,1.0,0.0,0.0,7.0,0.0,6304752.0,02/06/2025,2025.0
CSU Bakersfield,UCF,Maya Rameriez,1.1,4.0,2.0,1.0,0.0,0.0,10.0,0.0,6304752.0,02/06/2025,2025.0
CSU Bakersfield,UCF,Bailee Bustos,1.2,0.0,0.0,1.0,1.0,0.0,7.0,0.0,6304752.0,02/06/2025,2025.0
UCF,CSU Bakersfield,Isabella Vega,5.0,3.0,0.0,0.0,0.0,4.0,18.0,0.0,6304752.0,02/06/2025,2025.0
Georgia,UCF,Randi Roelling,7.0,2.0,0.0,1.0,1.0,7.0,26.0,0.0,6304753.0,02/06/2025,2025.0
UCF,Georgia,Yessenia Lopez,2.0,5.0,1.0,0.0,0.0,1.0,11.0,0.0,6304753.0,02/06/2025,2025.0
UCF,Georgia,Macy Miles,1.2,1.0,0.0,1.0,0.0,0.0,7.0,0.0,6304753.0,02/06/2025,2025.0
UCF,Georgia,Katelyn Cochran,2.0,3.0,2.0,2.0,1.0,1.0,11.0,0.0,6304753.0,02/06/2025,2025.0
UCF,Georgia,Isabella Vega,0.2,1.0,0.0,1.0,0.0,0.0,4.0,0.0,6304753.0,02/06/2025,2025.0
UCF,Georgia,Kaitlyn Felton,0.2,0.0,0.0,0.0,1.0,1.0,3.0,0.0,6304753.0,02/06/2025,2025.0
Seton Hall,Louisiana,Kelsey Carr,7.0,6.0,1.0,3.0,0.0,0.0,31.0,1.0,6304754.0,02/06/2025,2025.0
Louisiana,Seton Hall,Tyra Clary,4.0,3.0,3.0,6.0,0.0,2.0,19.0,0.0,6304754.0,02/06/2025,2025.0
Louisiana,Seton Hall,Mallory Wheeler,3.0,3.0,0.0,2.0,0.0,1.0,12.0,0.0,6304754.0,02/06/2025,2025.0
Virginia,South Carolina,Eden Bigham,3.0,3.0,0.0,4.0,1.0,1.0,18.0,0.0,6304756.0,02/06/2025,2025.0
Virginia,South Carolina,Savanah Henley,3.1,5.0,4.0,3.0,1.0,4.0,20.0,0.0,6304756.0,02/06/2025,2025.0
South Carolina,Virginia,Sam Gress,3.0,6.0,2.0,4.0,0.0,1.0,18.0,0.0,6304756.0,02/06/2025,2025.0
South Carolina,Virginia,Jori Heard,4.0,2.0,0.0,0.0,0.0,6.0,17.0,0.0,6304756.0,02/06/2025,2025.0
Boston College,FGCU,Abby Dunning,7.0,4.0,0.0,4.0,0.0,3.0,28.0,0.0,6304757.0,02/06/2025,2025.0
FGCU,Boston College,Allison Sparkman,6.1,7.0,1.0,0.0,1.0,3.0,28.0,0.0,6304757.0,02/06/2025,2025.0
FGCU,Boston College,Victoria Ash,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6304757.0,02/06/2025,2025.0
New Mexico,Sam Houston,Marina Tinari,2.1,5.0,3.0,2.0,0.0,2.0,14.0,0.0,6304759.0,02/06/2025,2025.0
New Mexico,Sam Houston,Natalie Fritz,1.0,5.0,1.0,1.0,0.0,0.0,8.0,0.0,6304759.0,02/06/2025,2025.0
New Mexico,Sam Houston,Lexi Atcitty,2.2,2.0,0.0,0.0,0.0,1.0,11.0,0.0,6304759.0,02/06/2025,2025.0
Sam Houston,New Mexico,Amy Abke,5.0,1.0,0.0,4.0,0.0,2.0,20.0,0.0,6304759.0,02/06/2025,2025.0
Sam Houston,New Mexico,Abigail Young,2.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,6304759.0,02/06/2025,2025.0
BYU,UC San Diego,Kaysen Korth,4.2,5.0,0.0,0.0,0.0,2.0,19.0,0.0,6304760.0,02/06/2025,2025.0
BYU,UC San Diego,Jada Villegas,1.1,0.0,0.0,0.0,0.0,2.0,4.0,0.0,6304760.0,02/06/2025,2025.0
UC San Diego,BYU,India Caldwell,4.0,2.0,1.0,3.0,0.0,3.0,17.0,1.0,6304760.0,02/06/2025,2025.0
UC San Diego,BYU,Claire Adams,0.2,2.0,3.0,2.0,0.0,0.0,6.0,0.0,6304760.0,02/06/2025,2025.0
UC San Diego,BYU,Callie Christian,1.1,4.0,4.0,1.0,0.0,1.0,9.0,0.0,6304760.0,02/06/2025,2025.0
UAB,South Alabama,Olivia Cummings,6.0,7.0,2.0,2.0,0.0,4.0,26.0,0.0,6304761.0,02/06/2025,2025.0
South Alabama,UAB,Ryley Harrison,7.0,4.0,1.0,0.0,0.0,5.0,24.0,0.0,6304761.0,02/06/2025,2025.0
North Florida,Florida,Taylor Cook,1.2,2.0,5.0,4.0,2.0,0.0,13.0,2.0,6304762.0,02/06/2025,2025.0
North Florida,Florida,Macie Hunolt,2.0,1.0,0.0,2.0,0.0,0.0,10.0,1.0,6304762.0,02/06/2025,2025.0
North Florida,Florida,Cameron Ponich,0.1,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6304762.0,02/06/2025,2025.0
Florida,North Florida,Keagan Rothrock,4.0,2.0,0.0,0.0,0.0,3.0,14.0,0.0,6304762.0,02/06/2025,2025.0
Florida,North Florida,Ava Brown,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,6304762.0,02/06/2025,2025.0
Clemson,Ole Miss,Reese Basinger,6.0,6.0,0.0,0.0,1.0,3.0,26.0,1.0,6304763.0,02/06/2025,2025.0
Ole Miss,Clemson,Aliyah Binford,3.1,5.0,2.0,1.0,0.0,0.0,16.0,1.0,6304763.0,02/06/2025,2025.0
Ole Miss,Clemson,Miali Guachino,3.2,0.0,0.0,2.0,0.0,5.0,13.0,0.0,6304763.0,02/06/2025,2025.0
Kansas,Clemson,Lizzy Ludwig,1.2,4.0,3.0,3.0,0.0,0.0,12.0,2.0,6304764.0,02/06/2025,2025.0
Kansas,Clemson,Katie Brooks,4.1,1.0,0.0,2.0,1.0,2.0,19.0,0.0,6304764.0,02/06/2025,2025.0
Clemson,Kansas,Brooke McCubbin,6.1,5.0,2.0,2.0,0.0,5.0,28.0,0.0,6304764.0,02/06/2025,2025.0
Clemson,Kansas,Reese Basinger,0.2,0.0,0.0,1.0,0.0,1.0,3.0,0.0,6304764.0,02/06/2025,2025.0
Marshall,Texas Tech,Bub Feringa,4.0,2.0,1.0,4.0,1.0,4.0,18.0,0.0,6304765.0,02/06/2025,2025.0
Marshall,Texas Tech,Jules King,2.0,1.0,0.0,3.0,1.0,3.0,11.0,0.0,6304765.0,02/06/2025,2025.0
Texas Tech,Marshall,Samantha Lincoln,2.0,1.0,0.0,0.0,2.0,1.0,9.0,0.0,6304765.0,02/06/2025,2025.0
Texas Tech,Marshall,NiJaree Canady,3.2,0.0,0.0,0.0,2.0,7.0,13.0,0.0,6304765.0,02/06/2025,2025.0
Texas Tech,Marshall,Chloe Riassetto,1.1,0.0,0.0,0.0,0.0,1.0,4.0,0.0,6304765.0,02/06/2025,2025.0
NC State,CSU Bakersfield,Rylee Wyman,7.0,4.0,1.0,1.0,0.0,6.0,27.0,0.0,6304766.0,02/06/2025,2025.0
CSU Bakersfield,NC State,Christal Lopez,0.1,0.0,2.0,4.0,1.0,0.0,6.0,0.0,6304766.0,02/06/2025,2025.0
CSU Bakersfield,NC State,Bailee Bustos,6.2,6.0,1.0,3.0,0.0,1.0,28.0,1.0,6304766.0,02/06/2025,2025.0
Long Beach St.,Pacific,Shannon Haddad,4.0,3.0,1.0,2.0,0.0,5.0,17.0,0.0,6304767.0,02/06/2025,2025.0
Long Beach St.,Pacific,Kate Barnett,1.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,6304767.0,02/06/2025,2025.0
Pacific,Long Beach St.,Desiree Smith,0.1,1.0,5.0,3.0,2.0,0.0,7.0,0.0,6304767.0,02/06/2025,2025.0
Pacific,Long Beach St.,Hannah Glad,3.1,6.0,1.0,4.0,0.0,1.0,21.0,1.0,6304767.0,02/06/2025,2025.0
Pacific,Long Beach St.,Kiley Shea,1.1,3.0,0.0,1.0,1.0,0.0,9.0,0.0,6304767.0,02/06/2025,2025.0
Abilene Christian,Baylor,Chase Mueller,2.1,7.0,5.0,4.0,0.0,0.0,18.0,0.0,6304768.0,02/06/2025,2025.0
Abilene Christian,Baylor,Taylor Bachmeyer,1.2,2.0,3.0,1.0,2.0,0.0,12.0,0.0,6304768.0,02/06/2025,2025.0
Baylor,Abilene Christian,Dariana Orme,2.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,6304768.0,02/06/2025,2025.0
Baylor,Abilene Christian,Lexie Warncke,2.0,2.0,0.0,2.0,0.0,1.0,11.0,0.0,6304768.0,02/06/2025,2025.0
Baylor,Abilene Christian,Sadie Ross,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,6304768.0,02/06/2025,2025.0
Delaware,South Fla.,Billie Kerwood,3.1,4.0,3.0,2.0,2.0,3.0,18.0,0.0,6304769.0,02/06/2025,2025.0
Delaware,South Fla.,Morgan Hess,2.1,4.0,4.0,1.0,0.0,3.0,11.0,0.0,6304769.0,02/06/2025,2025.0
South Fla.,Delaware,Belle Sardja,5.2,3.0,1.0,0.0,1.0,6.0,19.0,0.0,6304769.0,02/06/2025,2025.0
South Fla.,Delaware,Anne Long,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6304769.0,02/06/2025,2025.0
Southern U.,LMU (CA),Kairah Williams,2.0,6.0,3.0,3.0,2.0,1.0,17.0,1.0,6304770.0,02/06/2025,2025.0
Southern U.,LMU (CA),Chakirrous Parker,1.0,3.0,2.0,2.0,0.0,1.0,8.0,1.0,6304770.0,02/06/2025,2025.0
LMU (CA),Southern U.,Jessica Hubbard,4.2,5.0,2.0,2.0,1.0,7.0,20.0,0.0,6304770.0,02/06/2025,2025.0
LMU (CA),Southern U.,Lindsey O'Dell,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6304770.0,02/06/2025,2025.0
Illinois St.,South Fla.,Gracelyn Kemp,3.0,2.0,1.0,1.0,1.0,2.0,13.0,0.0,6304771.0,02/06/2025,2025.0
Illinois St.,South Fla.,Hannah Meeks,0.1,1.0,3.0,3.0,0.0,1.0,5.0,0.0,6304771.0,02/06/2025,2025.0
Illinois St.,South Fla.,Paige McLeod,2.2,1.0,0.0,1.0,0.0,1.0,9.0,0.0,6304771.0,02/06/2025,2025.0
South Fla.,Illinois St.,Payton Dixon,7.0,7.0,3.0,1.0,0.0,3.0,29.0,0.0,6304771.0,02/06/2025,2025.0
Arkansas,Texas St.,Robyn Herron,6.0,3.0,0.0,4.0,0.0,5.0,25.0,0.0,6304772.0,02/06/2025,2025.0
Arkansas,Texas St.,Cam Harrison,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,6304772.0,02/06/2025,2025.0
Texas St.,Arkansas,Maddy Azua,6.0,4.0,3.0,1.0,0.0,3.0,22.0,3.0,6304772.0,02/06/2025,2025.0
Texas St.,Arkansas,Emma Strood,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,6304772.0,02/06/2025,2025.0
Maryland,Arizona St.,Julia Shearer,2.0,3.0,3.0,2.0,0.0,1.0,10.0,1.0,6304773.0,02/06/2025,2025.0
Maryland,Arizona St.,Aubrey Wurst,1.2,4.0,4.0,1.0,0.0,0.0,10.0,1.0,6304773.0,02/06/2025,2025.0
Maryland,Arizona St.,Bri Godfrey,2.1,0.0,0.0,0.0,0.0,1.0,8.0,0.0,6304773.0,02/06/2025,2025.0
Arizona St.,Maryland,Cambree Creager,4.0,4.0,1.0,0.0,0.0,2.0,16.0,0.0,6304773.0,02/06/2025,2025.0
Arizona St.,Maryland,Kenzie Brown,3.0,1.0,0.0,0.0,0.0,6.0,11.0,0.0,6304773.0,02/06/2025,2025.0
Southern Ind.,Saint Louis,Josie Newman,7.0,4.0,3.0,12.0,2.0,7.0,39.0,0.0,6304774.0,02/06/2025,2025.0
Saint Louis,Southern Ind.,Taylor Hochman,4.0,4.0,0.0,1.0,0.0,2.0,17.0,0.0,6304774.0,02/06/2025,2025.0
Saint Louis,Southern Ind.,Isabel Royle,3.0,5.0,4.0,2.0,0.0,1.0,16.0,0.0,6304774.0,02/06/2025,2025.0
Utah St.,Villanova,Denay Smith,1.0,2.0,3.0,2.0,0.0,0.0,7.0,0.0,6308265.0,02/06/2025,2025.0
Utah St.,Villanova,Emmalyn Brinka,3.1,4.0,1.0,2.0,0.0,1.0,15.0,0.0,6308265.0,02/06/2025,2025.0
Utah St.,Villanova,Rylie Pindel,1.2,2.0,2.0,1.0,0.0,0.0,8.0,1.0,6308265.0,02/06/2025,2025.0
Villanova,Utah St.,Kat Gallant,7.0,7.0,4.0,2.0,0.0,4.0,30.0,0.0,6308265.0,02/06/2025,2025.0
Utah St.,Texas A&M,Carly Limosnero,5.1,9.0,6.0,3.0,2.0,3.0,28.0,0.0,6308266.0,02/06/2025,2025.0
Utah St.,Texas A&M,Sydney Saldana,0.2,2.0,1.0,0.0,0.0,0.0,3.0,1.0,6308266.0,02/06/2025,2025.0
Texas A&M,Utah St.,Grace Sparks,2.1,6.0,2.0,1.0,0.0,1.0,14.0,0.0,6308266.0,02/06/2025,2025.0
Texas A&M,Utah St.,Emily Leavitt,2.2,3.0,0.0,0.0,0.0,2.0,10.0,0.0,6308266.0,02/06/2025,2025.0
Texas A&M,Utah St.,Sidne Peters,2.0,2.0,2.0,0.0,0.0,2.0,8.0,1.0,6308266.0,02/06/2025,2025.0
Nebraska,Tennessee,Jordyn Bahl,7.0,5.0,1.0,0.0,0.0,7.0,26.0,0.0,6308431.0,02/06/2025,2025.0
Tennessee,Nebraska,Karlyn Pickens,5.0,5.0,0.0,0.0,2.0,11.0,22.0,1.0,6308431.0,02/06/2025,2025.0
Tennessee,Nebraska,Sage Mardjetko,2.0,1.0,2.0,1.0,0.0,2.0,8.0,0.0,6308431.0,02/06/2025,2025.0
Florida St.,Oklahoma St.,Ashtyn Danley,2.0,4.0,2.0,1.0,0.0,2.0,12.0,1.0,6308756.0,02/06/2025,2025.0
Florida St.,Oklahoma St.,Julia Apsel,2.1,3.0,2.0,1.0,1.0,4.0,12.0,1.0,6308756.0,02/06/2025,2025.0
Florida St.,Oklahoma St.,Mimi Gooden,1.1,4.0,2.0,0.0,0.0,0.0,10.0,1.0,6308756.0,02/06/2025,2025.0
Florida St.,Oklahoma St.,Makenna Reid,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6308756.0,02/06/2025,2025.0
Oklahoma St.,Florida St.,Ruby Meylan,5.0,5.0,2.0,2.0,0.0,9.0,21.0,1.0,6308756.0,02/06/2025,2025.0
Oklahoma St.,Florida St.,RyLee Crandall,2.0,2.0,4.0,2.0,0.0,1.0,9.0,2.0,6308756.0,02/06/2025,2025.0
Florida St.,Northern Colo.,Jazzy Francik,6.0,8.0,0.0,1.0,0.0,4.0,27.0,0.0,6308760.0,02/06/2025,2025.0
Florida St.,Northern Colo.,Annabelle Widra,1.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,6308760.0,02/06/2025,2025.0
Northern Colo.,Florida St.,Isabelle Dinapoli,7.0,12.0,5.0,3.0,1.0,3.0,37.0,0.0,6308760.0,02/06/2025,2025.0
Michigan St.,Arizona,Madison Taylor,1.2,5.0,7.0,2.0,0.0,0.0,12.0,2.0,6309284.0,02/06/2025,2025.0
Michigan St.,Arizona,Carsyn Cassady,0.2,5.0,4.0,2.0,0.0,0.0,9.0,1.0,6309284.0,02/06/2025,2025.0
Michigan St.,Arizona,Ella Cunningham,1.0,5.0,4.0,1.0,0.0,0.0,9.0,3.0,6309284.0,02/06/2025,2025.0
Michigan St.,Arizona,Ava Mullen,0.2,1.0,0.0,1.0,0.0,0.0,4.0,0.0,6309284.0,02/06/2025,2025.0
Arizona,Michigan St.,Miranda Stoddard,3.2,2.0,0.0,0.0,1.0,3.0,13.0,0.0,6309284.0,02/06/2025,2025.0
Arizona,Michigan St.,Ryan Maddox,1.1,0.0,0.0,0.0,0.0,1.0,4.0,0.0,6309284.0,02/06/2025,2025.0
Michigan St.,Arizona,Jacey Schuler,2.2,7.0,5.0,0.0,0.0,2.0,16.0,1.0,6309285.0,02/06/2025,2025.0
Michigan St.,Arizona,Faith Guidry,3.1,7.0,2.0,2.0,0.0,1.0,19.0,0.0,6309285.0,02/06/2025,2025.0
Arizona,Michigan St.,Sarah Wright,1.2,4.0,4.0,1.0,1.0,1.0,10.0,0.0,6309285.0,02/06/2025,2025.0
Arizona,Michigan St.,Saya Swain,3.1,3.0,2.0,0.0,1.0,3.0,15.0,1.0,6309285.0,02/06/2025,2025.0
Arizona,Michigan St.,Devyn Netz,2.0,4.0,3.0,0.0,0.0,2.0,10.0,2.0,6309285.0,02/06/2025,2025.0
Oklahoma,San Diego St.,Sam Landry,5.2,9.0,5.0,1.0,1.0,11.0,28.0,1.0,6309397.0,02/06/2025,2025.0
Oklahoma,San Diego St.,Audrey Lowry,3.1,0.0,0.0,0.0,0.0,5.0,10.0,0.0,6309397.0,02/06/2025,2025.0
San Diego St.,Oklahoma,Dee Dee Hernandez,4.2,5.0,4.0,5.0,1.0,4.0,24.0,1.0,6309397.0,02/06/2025,2025.0
San Diego St.,Oklahoma,Cece Cellura,2.1,3.0,3.0,1.0,2.0,0.0,12.0,0.0,6309397.0,02/06/2025,2025.0
San Diego St.,Oklahoma,Grace Uribe,2.0,1.0,1.0,2.0,0.0,2.0,9.0,1.0,6309397.0,02/06/2025,2025.0
Ole Miss,Fla. Atlantic,Brianna Lopez,6.0,3.0,2.0,4.0,0.0,5.0,26.0,0.0,6309433.0,02/06/2025,2025.0
Ole Miss,Fla. Atlantic,Miali Guachino,1.2,3.0,0.0,1.0,1.0,3.0,10.0,0.0,6309433.0,02/06/2025,2025.0
Fla. Atlantic,Ole Miss,Gabby Sacco,3.1,5.0,2.0,3.0,1.0,0.0,18.0,1.0,6309433.0,02/06/2025,2025.0
Fla. Atlantic,Ole Miss,Jaden Martinez,1.2,1.0,0.0,0.0,0.0,1.0,6.0,0.0,6309433.0,02/06/2025,2025.0
Fla. Atlantic,Ole Miss,Ainsley Lambert,3.0,4.0,0.0,0.0,0.0,2.0,11.0,0.0,6309433.0,02/06/2025,2025.0
Kansas,Fla. Atlantic,Kennedy Diggs,2.1,5.0,3.0,3.0,0.0,0.0,15.0,0.0,6309434.0,02/06/2025,2025.0
Kansas,Fla. Atlantic,Kaelee Washington,3.2,0.0,0.0,2.0,0.0,2.0,13.0,0.0,6309434.0,02/06/2025,2025.0
Fla. Atlantic,Kansas,Autumn Courtney,7.0,1.0,0.0,3.0,2.0,12.0,26.0,0.0,6309434.0,02/06/2025,2025.0
Delaware,Illinois St.,Morgan Hess,4.0,3.0,1.0,2.0,0.0,2.0,17.0,0.0,6309889.0,02/06/2025,2025.0
Delaware,Illinois St.,Billie Kerwood,3.2,0.0,0.0,0.0,0.0,7.0,11.0,0.0,6309889.0,02/06/2025,2025.0
Illinois St.,Delaware,Hannah Meshnick,8.0,5.0,1.0,5.0,0.0,2.0,34.0,0.0,6309889.0,02/06/2025,2025.0
Purdue,Texas A&M,Emma Bailey,1.0,3.0,3.0,1.0,0.0,0.0,7.0,0.0,6310032.0,02/06/2025,2025.0
Purdue,Texas A&M,Kendall Klochack,0.1,4.0,3.0,0.0,0.0,0.0,5.0,0.0,6310032.0,02/06/2025,2025.0
Purdue,Texas A&M,Kadyn Camper,2.2,2.0,4.0,4.0,1.0,2.0,15.0,0.0,6310032.0,02/06/2025,2025.0
Texas A&M,Purdue,Emiley Kennedy,5.0,4.0,2.0,1.0,0.0,8.0,21.0,0.0,6310032.0,02/06/2025,2025.0
NIU,Grand Canyon,Taylor Mackin,2.2,2.0,0.0,3.0,0.0,3.0,13.0,0.0,6310268.0,02/06/2025,2025.0
NIU,Grand Canyon,Danielle Stewart,3.1,6.0,5.0,0.0,3.0,1.0,18.0,1.0,6310268.0,02/06/2025,2025.0
Grand Canyon,NIU,Meghan Golden,5.0,3.0,1.0,0.0,0.0,7.0,19.0,0.0,6310268.0,02/06/2025,2025.0
Grand Canyon,NIU,Taryn Batterton,2.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,6310268.0,02/06/2025,2025.0
Santa Clara,Hawaii,Hannah Edwards,4.2,5.0,3.0,3.0,0.0,2.0,20.0,2.0,6311443.0,02/06/2025,2025.0
Santa Clara,Hawaii,Avery Seva,1.1,4.0,3.0,0.0,0.0,1.0,9.0,1.0,6311443.0,02/06/2025,2025.0
Hawaii,Santa Clara,Addison Kostrencich,7.0,6.0,2.0,3.0,1.0,4.0,32.0,0.0,6311443.0,02/06/2025,2025.0
N.C. Central,Ohio,Jaden Davis,4.1,7.0,5.0,2.0,0.0,0.0,24.0,0.0,6312032.0,02/06/2025,2025.0
N.C. Central,Ohio,Elana Krupey,0.1,2.0,0.0,0.0,0.0,0.0,3.0,0.0,6312032.0,02/06/2025,2025.0
Ohio,N.C. Central,Mikie Lieving,5.0,5.0,0.0,3.0,0.0,7.0,23.0,0.0,6312032.0,02/06/2025,2025.0
N.C. Central,UNC Greensboro,Janea Hudson,0.2,1.0,4.0,4.0,1.0,0.0,8.0,0.0,6312033.0,02/06/2025,2025.0
N.C. Central,UNC Greensboro,Elana Krupey,2.2,8.0,7.0,3.0,0.0,0.0,18.0,1.0,6312033.0,02/06/2025,2025.0
N.C. Central,UNC Greensboro,Blake Vick,0.2,2.0,3.0,1.0,0.0,0.0,5.0,1.0,6312033.0,02/06/2025,2025.0
UNC Greensboro,N.C. Central,Salem Ward,4.0,1.0,0.0,1.0,2.0,5.0,17.0,0.0,6312033.0,02/06/2025,2025.0
UNC Greensboro,N.C. Central,Addy Berry,1.0,3.0,2.0,0.0,0.0,1.0,8.0,0.0,6312033.0,02/06/2025,2025.0
NIU,Grand Canyon,Lily Cassell,3.1,8.0,5.0,3.0,0.0,4.0,21.0,3.0,6312264.0,02/06/2025,2025.0
NIU,Grand Canyon,Hannah Bolly,2.2,5.0,2.0,0.0,0.0,1.0,12.0,1.0,6312264.0,02/06/2025,2025.0
Grand Canyon,NIU,Emily Darwin,2.1,4.0,1.0,1.0,0.0,3.0,12.0,0.0,6312264.0,02/06/2025,2025.0
Grand Canyon,NIU,Maggie Place,4.2,5.0,1.0,1.0,0.0,3.0,21.0,0.0,6312264.0,02/06/2025,2025.0
Ohio,Elon,Skipp Miller,6.1,8.0,7.0,4.0,0.0,2.0,31.0,2.0,6312492.0,02/06/2025,2025.0
Ohio,Elon,Anna Wise,0.2,0.0,1.0,1.0,0.0,0.0,3.0,0.0,6312492.0,02/06/2025,2025.0
Elon,Ohio,Isley Duggins,4.2,5.0,1.0,3.0,1.0,2.0,23.0,0.0,6312492.0,02/06/2025,2025.0
Elon,Ohio,Kyra Leonard,2.0,1.0,1.0,2.0,0.0,1.0,11.0,0.0,6312492.0,02/06/2025,2025.0
Elon,Ohio,Meredith Wells,0.1,1.0,3.0,1.0,0.0,0.0,4.0,0.0,6312492.0,02/06/2025,2025.0
CSUN,Oklahoma,Isabella Alonso,4.1,3.0,4.0,4.0,1.0,4.0,21.0,1.0,6312546.0,02/06/2025,2025.0
CSUN,Oklahoma,Elisa Gulfin,1.2,3.0,3.0,2.0,1.0,0.0,10.0,0.0,6312546.0,02/06/2025,2025.0
Oklahoma,CSUN,Kierston Deal,3.2,3.0,1.0,1.0,0.0,0.0,15.0,0.0,6312546.0,02/06/2025,2025.0
Oklahoma,CSUN,Isabella Smith,3.1,0.0,0.0,0.0,0.0,5.0,10.0,0.0,6312546.0,02/06/2025,2025.0
NC State,Georgia,Madison Inscoe,4.0,9.0,8.0,1.0,0.0,4.0,24.0,2.0,6314136.0,02/06/2025,2025.0
Georgia,NC State,Lilli Backes,5.0,3.0,0.0,2.0,0.0,9.0,20.0,0.0,6314136.0,02/06/2025,2025.0
McNeese,Tarleton St.,Lindsay Davis,1.0,3.0,5.0,3.0,0.0,0.0,9.0,1.0,6316091.0,02/06/2025,2025.0
McNeese,Tarleton St.,Ryann Schexnayder,5.0,4.0,0.0,0.0,0.0,0.0,18.0,0.0,6316091.0,02/06/2025,2025.0
Tarleton St.,McNeese,Shelby Schultz,6.0,6.0,4.0,3.0,0.0,7.0,25.0,1.0,6316091.0,02/06/2025,2025.0
Tarleton St.,McNeese,Hannah Blincoe,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,6316091.0,02/06/2025,2025.0
Indiana,FIU,Brianna Copeland,6.1,8.0,3.0,4.0,0.0,5.0,33.0,0.0,6316813.0,02/06/2025,2025.0
FIU,Indiana,Kennedy Byrd,7.0,8.0,3.0,3.0,0.0,5.0,30.0,0.0,6316813.0,02/06/2025,2025.0
Northern Colo.,Louisiana Tech,Anna Wilming,5.0,8.0,2.0,2.0,0.0,0.0,27.0,1.0,6316947.0,02/06/2025,2025.0
Northern Colo.,Louisiana Tech,Grace Algrim,1.0,2.0,1.0,1.0,0.0,1.0,8.0,0.0,6316947.0,02/06/2025,2025.0
Louisiana Tech,Northern Colo.,Allie Floyd,7.0,7.0,4.0,3.0,1.0,6.0,32.0,0.0,6316947.0,02/06/2025,2025.0
South Carolina St.,Furman,Destiny Calloway,7.0,7.0,2.0,2.0,0.0,1.0,34.0,0.0,6317800.0,02/06/2025,2025.0
Furman,South Carolina St.,Emme Buzhardt,3.1,4.0,3.0,2.0,0.0,3.0,17.0,0.0,6317800.0,02/06/2025,2025.0
Furman,South Carolina St.,Angelina Ricciardi,3.2,3.0,3.0,2.0,0.0,2.0,15.0,0.0,6317800.0,02/06/2025,2025.0
A&M-Corpus Christi,New Mexico,Siarah Galvan,1.1,3.0,5.0,2.0,1.0,1.0,10.0,0.0,6355144.0,02/06/2025,2025.0
A&M-Corpus Christi,New Mexico,Holly Ayala,3.1,4.0,3.0,2.0,1.0,0.0,17.0,0.0,6355144.0,02/06/2025,2025.0
New Mexico,A&M-Corpus Christi,McKenna Guest,5.0,1.0,0.0,2.0,0.0,3.0,19.0,0.0,6355144.0,02/06/2025,2025.0
NC State,UCF,Rylee Wyman,3.0,3.0,2.0,2.0,0.0,3.0,15.0,0.0,6304775.0,02/07/2025,2025.0
NC State,UCF,Wynne Gore,3.0,2.0,1.0,0.0,0.0,1.0,11.0,0.0,6304775.0,02/07/2025,2025.0
UCF,NC State,Yessenia Lopez,4.0,4.0,1.0,2.0,0.0,5.0,18.0,1.0,6304775.0,02/07/2025,2025.0
UCF,NC State,Kaitlyn Felton,3.0,1.0,0.0,1.0,0.0,2.0,12.0,0.0,6304775.0,02/07/2025,2025.0
Texas,Louisiana,Teagan Kavan,4.0,1.0,0.0,2.0,1.0,5.0,16.0,0.0,6304776.0,02/07/2025,2025.0
Texas,Louisiana,Citlaly Gutierrez,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6304776.0,02/07/2025,2025.0
Louisiana,Texas,Bethaney Noble,1.1,5.0,6.0,3.0,0.0,1.0,12.0,1.0,6304776.0,02/07/2025,2025.0
Louisiana,Texas,Sam Ryan,3.2,3.0,1.0,1.0,0.0,0.0,13.0,0.0,6304776.0,02/07/2025,2025.0
Virginia,South Carolina,Ava Hodges,1.2,3.0,1.0,2.0,0.0,0.0,10.0,0.0,6304777.0,02/07/2025,2025.0
Virginia,South Carolina,Courtney Layne,3.1,3.0,3.0,2.0,0.0,3.0,14.0,1.0,6304777.0,02/07/2025,2025.0
Virginia,South Carolina,Eden Bigham,2.0,3.0,1.0,0.0,0.0,1.0,8.0,1.0,6304777.0,02/07/2025,2025.0
South Carolina,Virginia,Nealy Lamb,4.0,3.0,3.0,0.0,2.0,3.0,17.0,1.0,6304777.0,02/07/2025,2025.0
South Carolina,Virginia,Jori Heard,4.0,3.0,1.0,0.0,0.0,3.0,16.0,0.0,6304777.0,02/07/2025,2025.0
