away_team,away_team_id,away_team_logo,away_team_runs,home_team,home_team_id,home_team_logo,home_team_runs,game_date,game_id,status
Green Bay,572211,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/794.gif,0.0,Southeastern La.,572030,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/655.gif,13.0,02/08/2024,4497537,Final
UTSA,572080,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/706.gif,2.0,Northwestern St.,571932,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/508.gif,8.0,02/08/2024,4496745,Final
UConn,572148,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/164.gif,1.0,UCF,572133,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/128.gif,9.0,02/08/2024,4496701,Final
Oklahoma St.,571945,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/521.gif,8.0,CSUN,572335,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/101.gif,0.0,02/08/2024,4496703,Final
Nicholls,572533,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/483.gif,0.0,LSU,572444,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/365.gif,8.0,02/08/2024,4496705,Final
Tennessee,572065,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/694.gif,15.0,UT Arlington,572075,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/702.gif,0.0,02/08/2024,4496706,Final
Arkansas,572284,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/31.gif,8.0,Fla. Atlantic,572193,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/229.gif,0.0,02/08/2024,4496709,Final
Chattanooga,572063,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/693.gif,2.0,Louisiana,572046,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/671.gif,21.0,02/08/2024,4496711,Final
Nevada,572525,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/466.gif,10.0,Hawaii,572379,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/277.gif,2.0,02/08/2024,4496712,Final
Clemson,572342,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/147.gif,12.0,Missouri St.,572041,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/669.gif,0.0,02/08/2024,4496718,Final
Nebraska,572518,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/463.gif,0.0,Washington,572107,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/756.gif,8.0,02/08/2024,4492878,Final
South Dakota St.,572020,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/649.gif,20.0,Fresno St.,572329,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/96.gif,8.0,02/08/2024,4496713,Final
Iowa St.,572411,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/311.gif,12.0,Utah Valley,572258,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30024.gif,1.0,02/08/2024,4496722,Final
Indiana,572404,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/306.gif,7.0,Oregon,571950,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/529.gif,5.0,02/08/2024,4492874,Final
Villanova,572098,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/739.gif,2.0,Georgia Tech,572367,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/255.gif,3.0,02/08/2024,4496704,Final
Idaho St.,572393,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/294.gif,5.0,San Diego,572005,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/627.gif,0.0,02/08/2024,4496708,Final
