game_id,team,opponent,player,ip,ha,er,bb,hb,so,bf,hr_a,go,fo,season
4510227,UCLA,Stanford,"Terry, Kaitlyn",4.1,4.0,0.0,2.0,0.0,7.0,19.0,0.0,2.0,4.0,2024.0
4510227,Stanford,UCLA,"Canady, NiJaree",7.0,3.0,2.0,1.0,0.0,8.0,25.0,1.0,4.0,9.0,2024.0
4510228,Lindenwood,Southeast Mo. St.,"Weyh, Amanda",5.0,5.0,0.0,0.0,0.0,6.0,20.0,0.0,2.0,7.0,2024.0
4510228,Lindenwood,Southeast Mo. St.,"Wapp, Avery",1.1,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,2024.0
4510228,Southeast Mo. St.,Lindenwood,"Carney, Maddie",4.0,3.0,0.0,0.0,0.0,0.0,14.0,0.0,5.0,6.0,2024.0
4510228,Southeast Mo. St.,Lindenwood,"Livesay, Tegan",3.0,3.0,0.0,1.0,0.0,1.0,10.0,0.0,5.0,0.0,2024.0
4510229,Buffalo,NIU,"Tarantino, Julia",7.0,7.0,3.0,0.0,0.0,5.0,27.0,1.0,9.0,6.0,2024.0
4510229,NIU,Buffalo,"Norred, Claire",1.2,3.0,3.0,1.0,0.0,1.0,9.0,0.0,1.0,3.0,2024.0
4510229,NIU,Buffalo,"Carlson , Madison",0.2,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2024.0
4510229,NIU,Buffalo,"Cassell, Lily",4.2,6.0,4.0,1.0,0.0,2.0,22.0,1.0,2.0,11.0,2024.0
4510230,Valparaiso,Missouri St.,"McDermott, Sydney",6.0,6.0,5.0,3.0,0.0,2.0,28.0,1.0,3.0,13.0,2024.0
4510230,Missouri St.,Valparaiso,"Johnston, Gracie",7.0,5.0,4.0,3.0,0.0,2.0,30.0,2.0,5.0,14.0,2024.0
4510231,Murray St.,Evansville,"Roby, Raylee",2.1,5.0,1.0,0.0,1.0,2.0,13.0,0.0,2.0,3.0,2024.0
4510231,Murray St.,Evansville,"Veber, Jenna",3.2,3.0,1.0,0.0,0.0,3.0,13.0,0.0,1.0,6.0,2024.0
4510231,Evansville,Murray St.,"Weatherford, S.",7.0,9.0,1.0,0.0,1.0,1.0,29.0,0.0,11.0,6.0,2024.0
4510232,Texas Tech,Oklahoma St.,"Wright, Maddy",4.0,3.0,0.0,2.0,0.0,1.0,16.0,0.0,5.0,5.0,2024.0
4510232,Texas Tech,Oklahoma St.,"Willis, Ranci",2.0,3.0,6.0,6.0,0.0,1.0,15.0,0.0,1.0,4.0,2024.0
4510232,Oklahoma St.,Texas Tech,"Kilfoyl, Lexi",2.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,3.0,3.0,2024.0
4510232,Oklahoma St.,Texas Tech,"Rosenberry, Ivy",5.0,6.0,3.0,2.0,0.0,3.0,22.0,1.0,8.0,3.0,2024.0
4510233,Stetson,FGCU,"Marien, Hannah",2.0,4.0,2.0,1.0,0.0,1.0,11.0,0.0,2.0,3.0,2024.0
4510233,Stetson,FGCU,"Mullen, Caitlin",1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,2024.0
4510233,Stetson,FGCU,"Hobbs, Lauren",3.0,2.0,1.0,2.0,0.0,1.0,14.0,0.0,5.0,3.0,2024.0
4510233,FGCU,Stetson,"Sparkman, Allison",4.0,3.0,0.0,1.0,0.0,1.0,15.0,0.0,8.0,2.0,2024.0
4510233,FGCU,Stetson,"Bonilla, Angelina",1.1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,2024.0
4510233,FGCU,Stetson,"Maulding, Claire",1.2,3.0,2.0,1.0,1.0,1.0,10.0,0.0,1.0,2.0,2024.0
4510234,Mercer,Chattanooga,"Taylor, Grace",3.0,2.0,1.0,1.0,0.0,3.0,13.0,0.0,5.0,1.0,2024.0
4510234,Mercer,Chattanooga,"Pitts, Hannah",4.0,3.0,2.0,1.0,1.0,1.0,19.0,0.0,4.0,7.0,2024.0
4510234,Chattanooga,Mercer,"Lavdis, Alyssa",3.0,6.0,4.0,0.0,0.0,1.0,14.0,1.0,4.0,3.0,2024.0
